OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,,
SO - 000225,1/1/2015,126,Wholesale,GBP,AXW291,82,27,6,"2,499.10","14,994.60","1,824.34",,
SO - 0003378,1/1/2015,96,Distributor,GBP,AXW291,32,20,11,"2,351.70","25,868.70","1,269.92",,
SO - 0005126,1/1/2015,8,Wholesale,GBP,AXW291,7,26,6,978.20,"5,869.20",684.74,,
SO - 0005614,1/1/2015,42,Export,GBP,AXW291,5,7,7,"2,338.30","16,368.10","1,028.85",,
SO - 0005781,1/1/2015,73,Wholesale,GBP,AXW291,20,8,8,"2,291.40","18,331.20","1,260.27",,
SO - 0010394,1/1/2015,138,Export,GBP,NXH382,61,23,11,"5,219.30","57,412.30","4,332.02",,
SO - 0008865,1/1/2015,53,Wholesale,GBP,GUT930,47,1,7,"2,874.30","20,120.10","1,667.09",,
SO - 0009909,1/1/2015,45,Wholesale,GBP,AXW291,15,25,10,"1,045.20","10,452.00",679.38,,
SO - 0002911,1/2/2015,37,Wholesale,GBP,AXW291,6,15,6,911.20,"5,467.20",665.18,,
SO - 0003527,1/2/2015,8,Wholesale,GBP,AXW291,40,18,11,"1,701.80","18,719.80","1,429.51",,
SO - 0003901,1/2/2015,92,Wholesale,GBP,AXW291,65,25,5,"1,728.60","8,643.00","1,019.87",,
SO - 0005414,1/2/2015,152,Wholesale,GBP,AXW291,8,25,7,"1,835.80","12,850.60","1,413.57",,
SO - 0005609,1/2/2015,58,Distributor,GBP,AXW291,53,10,7,"3,966.40","27,764.80","1,903.87",,
SO - 0006308,1/2/2015,78,Wholesale,GBP,AXW291,12,28,8,214.40,"1,715.20",124.35,,
SO - 0006534,1/2/2015,151,Distributor,GBP,AXW291,80,15,9,"5,152.30","46,370.70","3,709.66",,
SO - 0002078,1/3/2015,50,Wholesale,GBP,AXW291,12,29,5,"3,999.90","19,999.50","3,279.92",,
SO - 0002795,1/3/2015,111,Wholesale,GBP,AXW291,1,26,12,"3,872.60","46,471.20","2,517.19",,
SO - 0003775,1/3/2015,39,Distributor,GBP,AXW291,26,18,12,891.10,"10,693.20",516.84,,
SO - 0004247,1/3/2015,56,Export,GBP,AXW291,49,24,6,"3,879.30","23,275.80","2,056.03",,
SO - 0004386,1/3/2015,57,Distributor,GBP,AXW291,52,19,9,"1,045.20","9,406.80",418.08,,
SO - 0004592,1/3/2015,21,Wholesale,GBP,AXW291,51,12,12,"5,406.90","64,882.80","3,676.69",,
SO - 0004792,1/3/2015,141,Wholesale,GBP,AXW291,34,1,6,167.50,"1,005.00",83.75,,
SO - 0007139,1/3/2015,159,Wholesale,GBP,AXW291,30,2,6,"2,418.70","14,512.20","1,910.77",,
SO - 0008999,1/3/2015,126,Distributor,GBP,AXW291,16,15,8,"5,601.20","44,809.60","2,632.56",,
SO - 000450,1/4/2015,47,Wholesale,GBP,AXW291,60,25,7,"1,078.70","7,550.90",906.11,,
SO - 000848,1/4/2015,28,Wholesale,GBP,AXW291,38,15,9,"2,217.70","19,959.30","1,596.74",,
SO - 0001724,1/4/2015,88,Wholesale,GBP,AXW291,68,25,11,"1,038.50","11,423.50",633.49,,
SO - 0002922,1/4/2015,145,Wholesale,GBP,AXW291,31,25,6,247.90,"1,487.40",123.95,,
SO - 0005582,1/4/2015,118,Wholesale,GBP,AXW291,22,3,7,"2,539.30","17,775.10","1,625.15",,
SO - 0005716,1/4/2015,7,Wholesale,GBP,AXW291,84,20,12,234.50,"2,814.00",189.95,,
SO - 0005751,1/4/2015,163,Wholesale,GBP,AXW291,65,2,5,"1,943.00","9,715.00","1,651.55",,
SO - 0006419,1/4/2015,112,Distributor,GBP,AXW291,66,14,10,"1,058.60","10,586.00",666.92,,
SO - 0006790,1/4/2015,100,Wholesale,GBP,AXW291,78,12,10,"2,532.60","25,326.00","1,696.84",,
SO - 0006962,1/4/2015,126,Distributor,GBP,AXW291,67,4,9,"2,720.20","24,481.80","1,251.29",,
SO - 0007587,1/4/2015,134,Export,GBP,AXW291,80,13,10,"2,391.90","23,919.00","1,363.38",,
SO - 0008464,1/4/2015,44,Distributor,GBP,GUT930,63,15,5,"3,852.50","19,262.50","1,695.10",,
